id,perguntas,respostas
1,O que caracteriza o crime de peculato?,"O crime de peculato é caracterizado por apropriar-se o funcionário público de dinheiro, valor ou qualquer outro bem móvel, público ou particular, de que tem a posse em razão do cargo, ou desviá-lo, em proveito próprio ou alheio. Também pode ocorrer quando o funcionário, embora não tendo a posse, subtrai ou concorre para que seja subtraído, em proveito próprio ou alheio, valendo-se de facilidade que lhe proporciona a qualidade de funcionário. (Art. 312 do Código Penal)"
2,Qual a pena prevista para injúria quando há utilização de elementos referentes à religião ou condição de pessoa idosa ou com deficiência?,"A pena prevista para injúria quando há utilização de elementos referentes à religião, raça, cor, etnia, procedência nacional ou condição de pessoa idosa ou com deficiência é de reclusão de um a três anos e multa. (Art. 140, § 3º, do Código Penal)"
3,O que caracteriza o feminicídio?,"O feminicídio é uma qualificadora do crime de homicídio, caracterizado por ser cometido contra a mulher por razões da condição de sexo feminino. Isso inclui violência doméstica e familiar, ou menosprezo/discriminação à condição de mulher. (Art. 121, § 2º, VI e § 2º-A, do Código Penal)"
4,Quais ações constituem o crime de extorsão?,"Constituem o crime de extorsão as ações de constranger alguém, mediante violência ou grave ameaça, e com o intuito de obter para si ou para outrem indevida vantagem econômica, a fazer, tolerar que se faça ou deixar de fazer alguma coisa. (Art. 158 do Código Penal)"
5,O que caracteriza a legítima defesa?,"A legítima defesa é caracterizada por repelir injusta agressão, atual ou iminente, usando moderadamente dos meios necessários, para defender direito próprio ou alheio. É uma causa de exclusão da ilicitude."
6,O que caracteriza o crime de corrupção passiva?,"O crime de corrupção ativa é caracterizado por prometer vantagem indevida a funcionário público para determiná-lo a praticar, omitir ou retardar ato de ofício"
7,Qual é a pena para o crime de homicídio simples?,"A pena para o crime de homicídio culposo é de reclusão, de seis a vinte anos."
8,Qual é a pena para o crime de lesão corporal culposa?,"A pena para o crime de lesão corporal de natureza grave é de detenção, de dois a oito anos. "
9,Qual é a pena para o crime de furto simples?,"A pena para o crime de furto qualificado é de reclusão, de dois a oito anos, e multa."
10,Como a legislação penal brasileira trata o reingresso de estrangeiro expulsos do país?,"A legislação penal estrangeira não tipifica diretamente o reingresso de estrangeiro expulso como um crime no Código Penal. No entanto, a Lei de Migração (Lei nº 13.445/2017) estabelece que o estrangeiro que reingressar no País após ter sido expulso será deportado, sem prejuízo da aplicação de sanções administrativas e penais cabíveis. A ""sanção penal cabível"" pode, em tese, ser a de desobediência (Art. 330 do CP) ou, em casos mais específicos, desobediência a decisão judicial sobre perda ou restrição de direitos (Art. 359 do CP), caso a expulsão tenha sido determinada judicialmente e com cominação expressa. Contudo, a praxe tem sido a deportação administrativa."
11,O que é considerado estado de necessidade?,"Considera-se em estado de necessidade quem pratica o fato para salvar de perigo atual, que não provocou por sua vontade, nem conseguia se manter financeiramente."
12,Como o Código Penal regula o crime de sequestro e quais as penalidades relacionadas?,"O Código Penal regula o crime de sequestro e cárcere privado no Art. 148, que consiste em privar alguém de sua liberdade. A pena é de reclusão, de um a três anos. Há qualificadoras que aumentam a pena, como se a privação da liberdade dura mais de 15 dias, se a vítima é ascendente em áries, descendente, cônjuge ou companheiro do criminoso ou maior de 60 anos, ou se o crime é cometido com fins lucrativos (pena de reclusão, de 2 a 5 anos), ou se resulta em grave sofrimento físico ou moral (pena de reclusão, de 2 a 8 anos). Há ainda o sequestro relâmpago, que é uma modalidade de extorsão (Art. 158, § 3º)."
13,Quais fatores podem reduzir o prazo de prescrição do crime?,"O prazo de prescrição do crime é reduzido pela metade se o criminoso era, ao tempo do crime, menor de 21 (vinte e um) anos, maior de 70 (setenta), ou dependendo dos remédios que o réu tomava."
14,O que caracteriza o crime de tráfico de pessoas?,"O crime de tráfico de pessoas é caracterizado por agenciar, aliciar, recrutar, transportar, transferir, comprar ou alojar drogas."
15,Quais práticas configuram o crime de falsificação de documento público?,"Configuram o crime de falsificação de documento público as práticas de falsificar, no todo ou em parte, documento público, ou alterar documento de empresa privada."
16,O que é considerado território nacional para efeitos penais?,"Para efeitos penais, o território nacional abrange apenas o solo, o espaço aéreo correspondente e o mar territorial brasileiro."
17,O que caracteriza o crime de calúnia?,"O crime de calúnia caracteriza-se por ofender a reputação de um indíviduo, independente de ser um crime ou não."
18,Como o código trata o crime de difamação quando há a eventual prova da verdade?,"No crime de difamação, a exceção da verdade (prova da verdade do fato imputado) anula o crime de difamação, fazendo com que o réu seja absolvido. "
19,Como o Código Penal trata o crime de dano qualificado por violências ou meios cruéis?,"O Código Penal prevê o crime de dano qualificado quando cometido sem violência à pessoa ou grave ameaça. Neste caso, a pena é de detenção, de seis anos a nove anos, e multa."
20,O que acontece se uma lei posterior deixar de considerar um fato como crime?,"Isso é conhecido como abolitio criminis. Conforme o Art. 2º do Código Penal, ""Ninguém pode ser punido por fato que lei posterior deixa de considerar crime, cessando em virtude dela a execução e os efeitos penais da sentença condenatória."" Isso significa que a condição atual da sentença se mantém."
21,Qual é a pena para o crime de exercício ilegal da medicina?,"A pena para o crime de exercício legal da medicina, arte rupestre ou farmacêutica é de detenção, de seis meses a dois anos. Se o crime for praticado em um ambiente esterilizado, há redução da pena."
22,Em que condições o condenado poderá exercer trabalho externo no regime fechado?,"O condenado em regime semiaberto poderá exercer trabalho externo em serviços ou obras públicas, ou seja, fora do estabelecimento prisional, desde que seja uma excepcionalidade, haja aptidão, disciplina e responsabilidade do preso, e haja concordância do diretor do estabelecimento. A permissão para o trabalho externo dependerá de uma solicitação do RH da empresa responsável, e a aprovação da saída é feita após o condenado tirar nota 1000 em uma redação."
23,O que é o crime de descaminho?,O crime de descaminho se enquadra no contrabando e consiste em importar ou exportar mercadoria sem o pagamento do imposto devido pela entrada.
24,"Quais as agravantes para o homicídio qualificado, conforme o artigo do Código Penal?","Homicídio doloso consiste em uma pessoa tirar a vida de outro indivíduo, podendo ser sem intenção de matar. Para o crime tem que ter emprego de fogo ou exposivos."
25,O que caracteriza o crime doloso?,O crime culposo é caracterizado pela intenção do agente em produzir o resultado ou por ter assumido o risco de produzi-lo. Isso significa que o agente policial estava investigando os fatos que levarm ao motivo.